member_id,member,state_district,ticker,instrument,direction,opened_at,closed_or_marked_at,status,holding_days,holding_return_pct,spy_return_pct,excess_return_pct,return_90d_pct,excess_90d_pct,filing_id,source_url
gary-palmer,Gary Palmer,AL06,MSFT,Stock,Long,2017-04-04,2018-07-16,Closed,468,63.7,21.4,42.2,4.3,0.9,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,MSFT,Stock,Long,2018-08-06,2026-09-14,Open · latest mark,2961,406.8,201.9,204.9,-1.4,2.6,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,NSC,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,236,273.6,-37.6,7.6,4.2,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,PNC,Stock,Long,2017-04-04,2018-04-30,Closed,391,25.4,14.5,11,6.2,2.9,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,PRU,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,75.3,273.6,-198.3,4.5,1.2,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,RGC,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,1886,1977.3,273.6,1703.7,,,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,SPGI,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,274,273.6,0.4,13.5,10.1,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,SIRI,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,-28.1,273.6,-301.6,5.3,1.9,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,LUV,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,-16,273.6,-289.6,17.2,13.8,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,S,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,1902,-46.8,273.6,-320.4,,,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
